key,region,process_res,process_ely,process_deriv,process_flh,value,source
"ARG-CRB,RES-HYBR,PEM-EL,,PEM-EL",ARG-CRB,RES-HYBR,PEM-EL,,PEM-EL,4217.310871558275,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,CH3OHSYN,CH3OHREC",ARG-CRB,RES-HYBR,PEM-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARG-CRB,RES-HYBR,PEM-EL,CH3OHSYN,CH3OHSYN",ARG-CRB,RES-HYBR,PEM-EL,CH3OHSYN,CH3OHSYN,7372.037636903771,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,CH3OHSYN,PEM-EL",ARG-CRB,RES-HYBR,PEM-EL,CH3OHSYN,PEM-EL,4156.36727111851,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,ATR",ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,ATR,7008.0,
"ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,CH4-LIQ",ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,CH4-LIQ,7379.191591818789,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,CH4-RGAS",ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,CH4SYN",ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,CH4SYN,7379.191591818789,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,PEM-EL",ARG-CRB,RES-HYBR,PEM-EL,CH4SYN,PEM-EL,4058.7693655466464,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,DRI,DRI",ARG-CRB,RES-HYBR,PEM-EL,DRI,DRI,7008.0,öko
"ARG-CRB,RES-HYBR,PEM-EL,DRI,PEM-EL",ARG-CRB,RES-HYBR,PEM-EL,DRI,PEM-EL,7008.0,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,EFUELSYN,EFUELSYN",ARG-CRB,RES-HYBR,PEM-EL,EFUELSYN,EFUELSYN,7353.414911370679,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,EFUELSYN,PEM-EL",ARG-CRB,RES-HYBR,PEM-EL,EFUELSYN,PEM-EL,4130.101738640637,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,LOHC-CON,LOHC-CON",ARG-CRB,RES-HYBR,PEM-EL,LOHC-CON,LOHC-CON,4217.310871558275,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,LOHC-CON,LOHC-REC",ARG-CRB,RES-HYBR,PEM-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARG-CRB,RES-HYBR,PEM-EL,LOHC-CON,PEM-EL",ARG-CRB,RES-HYBR,PEM-EL,LOHC-CON,PEM-EL,4217.310871558275,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,NH3SYN,NH3-REC",ARG-CRB,RES-HYBR,PEM-EL,NH3SYN,NH3-REC,7008.0,öko
"ARG-CRB,RES-HYBR,PEM-EL,NH3SYN,NH3SYN",ARG-CRB,RES-HYBR,PEM-EL,NH3SYN,NH3SYN,7051.166269082257,PTX Atlas
"ARG-CRB,RES-HYBR,PEM-EL,NH3SYN,PEM-EL",ARG-CRB,RES-HYBR,PEM-EL,NH3SYN,PEM-EL,4136.945449055502,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,,H2-COMP",ARG-CRB,RES-HYBR,SOEC-EL,,H2-COMP,7008.0,
"ARG-CRB,RES-HYBR,SOEC-EL,,H2-LIQ",ARG-CRB,RES-HYBR,SOEC-EL,,H2-LIQ,4058.0540031422247,öko
"ARG-CRB,RES-HYBR,SOEC-EL,,H2-RGAS",ARG-CRB,RES-HYBR,SOEC-EL,,H2-RGAS,7008.0,öko
"ARG-CRB,RES-HYBR,SOEC-EL,,SOEC-EL",ARG-CRB,RES-HYBR,SOEC-EL,,SOEC-EL,4063.9612827699234,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,CH3OHSYN,CH3OHREC",ARG-CRB,RES-HYBR,SOEC-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARG-CRB,RES-HYBR,SOEC-EL,CH3OHSYN,CH3OHSYN",ARG-CRB,RES-HYBR,SOEC-EL,CH3OHSYN,CH3OHSYN,6564.829216192067,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,CH3OHSYN,SOEC-EL",ARG-CRB,RES-HYBR,SOEC-EL,CH3OHSYN,SOEC-EL,6564.829216192067,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,ATR",ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,ATR,7008.0,
"ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,CH4-LIQ",ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,CH4-LIQ,6535.631231649625,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,CH4-RGAS",ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,CH4SYN",ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,CH4SYN,6535.631231649625,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,SOEC-EL",ARG-CRB,RES-HYBR,SOEC-EL,CH4SYN,SOEC-EL,6535.631231649625,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,DRI,DRI",ARG-CRB,RES-HYBR,SOEC-EL,DRI,DRI,7008.0,öko
"ARG-CRB,RES-HYBR,SOEC-EL,DRI,SOEC-EL",ARG-CRB,RES-HYBR,SOEC-EL,DRI,SOEC-EL,7008.0,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,EFUELSYN,EFUELSYN",ARG-CRB,RES-HYBR,SOEC-EL,EFUELSYN,EFUELSYN,6653.9073137748,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,EFUELSYN,SOEC-EL",ARG-CRB,RES-HYBR,SOEC-EL,EFUELSYN,SOEC-EL,6653.9073137748,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,LOHC-CON,LOHC-CON",ARG-CRB,RES-HYBR,SOEC-EL,LOHC-CON,LOHC-CON,4063.9612827699234,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,LOHC-CON,LOHC-REC",ARG-CRB,RES-HYBR,SOEC-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARG-CRB,RES-HYBR,SOEC-EL,LOHC-CON,SOEC-EL",ARG-CRB,RES-HYBR,SOEC-EL,LOHC-CON,SOEC-EL,4063.9612827699234,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,NH3SYN,NH3-REC",ARG-CRB,RES-HYBR,SOEC-EL,NH3SYN,NH3-REC,7008.0,öko
"ARG-CRB,RES-HYBR,SOEC-EL,NH3SYN,NH3SYN",ARG-CRB,RES-HYBR,SOEC-EL,NH3SYN,NH3SYN,5366.087152892847,PTX Atlas
"ARG-CRB,RES-HYBR,SOEC-EL,NH3SYN,SOEC-EL",ARG-CRB,RES-HYBR,SOEC-EL,NH3SYN,SOEC-EL,5366.087152892847,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,,AEL-EL",ARG-CRB,WIND-OFF,AEL-EL,,AEL-EL,1418.767710106791,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,,H2-COMP",ARG-CRB,WIND-OFF,AEL-EL,,H2-COMP,7008.0,
"ARG-CRB,WIND-OFF,AEL-EL,,H2-LIQ",ARG-CRB,WIND-OFF,AEL-EL,,H2-LIQ,1686.412507142295,öko
"ARG-CRB,WIND-OFF,AEL-EL,,H2-RGAS",ARG-CRB,WIND-OFF,AEL-EL,,H2-RGAS,7008.0,öko
"ARG-CRB,WIND-OFF,AEL-EL,CH3OHSYN,AEL-EL",ARG-CRB,WIND-OFF,AEL-EL,CH3OHSYN,AEL-EL,1831.0418778464768,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,CH3OHSYN,CH3OHREC",ARG-CRB,WIND-OFF,AEL-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARG-CRB,WIND-OFF,AEL-EL,CH3OHSYN,CH3OHSYN",ARG-CRB,WIND-OFF,AEL-EL,CH3OHSYN,CH3OHSYN,3350.739108596444,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,AEL-EL",ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,AEL-EL,1734.563868775499,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,ATR",ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,ATR,7008.0,
"ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,CH4-LIQ",ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,CH4-LIQ,3313.209652379069,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,CH4-RGAS",ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,CH4SYN",ARG-CRB,WIND-OFF,AEL-EL,CH4SYN,CH4SYN,3313.209652379069,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,DRI,AEL-EL",ARG-CRB,WIND-OFF,AEL-EL,DRI,AEL-EL,7008.0,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,DRI,DRI",ARG-CRB,WIND-OFF,AEL-EL,DRI,DRI,7008.0,öko
"ARG-CRB,WIND-OFF,AEL-EL,EFUELSYN,AEL-EL",ARG-CRB,WIND-OFF,AEL-EL,EFUELSYN,AEL-EL,1805.6798659548303,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,EFUELSYN,EFUELSYN",ARG-CRB,WIND-OFF,AEL-EL,EFUELSYN,EFUELSYN,3300.6000799471267,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,LOHC-CON,AEL-EL",ARG-CRB,WIND-OFF,AEL-EL,LOHC-CON,AEL-EL,1418.767710106791,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,LOHC-CON,LOHC-CON",ARG-CRB,WIND-OFF,AEL-EL,LOHC-CON,LOHC-CON,1418.767710106791,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,LOHC-CON,LOHC-REC",ARG-CRB,WIND-OFF,AEL-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARG-CRB,WIND-OFF,AEL-EL,NH3SYN,AEL-EL",ARG-CRB,WIND-OFF,AEL-EL,NH3SYN,AEL-EL,1739.2492788679283,PTX Atlas
"ARG-CRB,WIND-OFF,AEL-EL,NH3SYN,NH3-REC",ARG-CRB,WIND-OFF,AEL-EL,NH3SYN,NH3-REC,7008.0,öko
"ARG-CRB,WIND-OFF,AEL-EL,NH3SYN,NH3SYN",ARG-CRB,WIND-OFF,AEL-EL,NH3SYN,NH3SYN,2231.252803929577,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,,H2-COMP",ARG-CRB,WIND-OFF,PEM-EL,,H2-COMP,7008.0,
"ARG-CRB,WIND-OFF,PEM-EL,,H2-LIQ",ARG-CRB,WIND-OFF,PEM-EL,,H2-LIQ,1686.412507142295,öko
"ARG-CRB,WIND-OFF,PEM-EL,,H2-RGAS",ARG-CRB,WIND-OFF,PEM-EL,,H2-RGAS,7008.0,öko
"ARG-CRB,WIND-OFF,PEM-EL,,PEM-EL",ARG-CRB,WIND-OFF,PEM-EL,,PEM-EL,1418.767710106791,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,CH3OHSYN,CH3OHREC",ARG-CRB,WIND-OFF,PEM-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARG-CRB,WIND-OFF,PEM-EL,CH3OHSYN,CH3OHSYN",ARG-CRB,WIND-OFF,PEM-EL,CH3OHSYN,CH3OHSYN,3350.739108596444,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,CH3OHSYN,PEM-EL",ARG-CRB,WIND-OFF,PEM-EL,CH3OHSYN,PEM-EL,1831.0418778464768,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,ATR",ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,ATR,7008.0,
"ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,CH4-LIQ",ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,CH4-LIQ,3313.209652379069,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,CH4-RGAS",ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,CH4SYN",ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,CH4SYN,3313.209652379069,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,PEM-EL",ARG-CRB,WIND-OFF,PEM-EL,CH4SYN,PEM-EL,1734.563868775499,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,DRI,DRI",ARG-CRB,WIND-OFF,PEM-EL,DRI,DRI,7008.0,öko
"ARG-CRB,WIND-OFF,PEM-EL,DRI,PEM-EL",ARG-CRB,WIND-OFF,PEM-EL,DRI,PEM-EL,7008.0,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,EFUELSYN,EFUELSYN",ARG-CRB,WIND-OFF,PEM-EL,EFUELSYN,EFUELSYN,3300.6000799471267,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,EFUELSYN,PEM-EL",ARG-CRB,WIND-OFF,PEM-EL,EFUELSYN,PEM-EL,1805.6798659548303,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,LOHC-CON,LOHC-CON",ARG-CRB,WIND-OFF,PEM-EL,LOHC-CON,LOHC-CON,1418.767710106791,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,LOHC-CON,LOHC-REC",ARG-CRB,WIND-OFF,PEM-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARG-CRB,WIND-OFF,PEM-EL,LOHC-CON,PEM-EL",ARG-CRB,WIND-OFF,PEM-EL,LOHC-CON,PEM-EL,1418.767710106791,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,NH3SYN,NH3-REC",ARG-CRB,WIND-OFF,PEM-EL,NH3SYN,NH3-REC,7008.0,öko
"ARG-CRB,WIND-OFF,PEM-EL,NH3SYN,NH3SYN",ARG-CRB,WIND-OFF,PEM-EL,NH3SYN,NH3SYN,2231.252803929577,PTX Atlas
"ARG-CRB,WIND-OFF,PEM-EL,NH3SYN,PEM-EL",ARG-CRB,WIND-OFF,PEM-EL,NH3SYN,PEM-EL,1739.2492788679283,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,,H2-COMP",ARG-CRB,WIND-OFF,SOEC-EL,,H2-COMP,7008.0,
"ARG-CRB,WIND-OFF,SOEC-EL,,H2-LIQ",ARG-CRB,WIND-OFF,SOEC-EL,,H2-LIQ,1601.7354467237706,öko
"ARG-CRB,WIND-OFF,SOEC-EL,,H2-RGAS",ARG-CRB,WIND-OFF,SOEC-EL,,H2-RGAS,7008.0,öko
"ARG-CRB,WIND-OFF,SOEC-EL,,SOEC-EL",ARG-CRB,WIND-OFF,SOEC-EL,,SOEC-EL,1343.394386252327,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,CH3OHSYN,CH3OHREC",ARG-CRB,WIND-OFF,SOEC-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARG-CRB,WIND-OFF,SOEC-EL,CH3OHSYN,CH3OHSYN",ARG-CRB,WIND-OFF,SOEC-EL,CH3OHSYN,CH3OHSYN,2159.6914621343913,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,CH3OHSYN,SOEC-EL",ARG-CRB,WIND-OFF,SOEC-EL,CH3OHSYN,SOEC-EL,2159.6914621343913,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,ATR",ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,ATR,7008.0,
"ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,CH4-LIQ",ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,CH4-LIQ,2158.2217948489274,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,CH4-RGAS",ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,CH4SYN",ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,CH4SYN,2158.2217948489274,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,SOEC-EL",ARG-CRB,WIND-OFF,SOEC-EL,CH4SYN,SOEC-EL,2158.2217948489274,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,DRI,DRI",ARG-CRB,WIND-OFF,SOEC-EL,DRI,DRI,7008.0,öko
"ARG-CRB,WIND-OFF,SOEC-EL,DRI,SOEC-EL",ARG-CRB,WIND-OFF,SOEC-EL,DRI,SOEC-EL,7008.0,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,EFUELSYN,EFUELSYN",ARG-CRB,WIND-OFF,SOEC-EL,EFUELSYN,EFUELSYN,2171.7808097029783,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,EFUELSYN,SOEC-EL",ARG-CRB,WIND-OFF,SOEC-EL,EFUELSYN,SOEC-EL,2171.7808097029783,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,LOHC-CON,LOHC-CON",ARG-CRB,WIND-OFF,SOEC-EL,LOHC-CON,LOHC-CON,1343.394386252327,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,LOHC-CON,LOHC-REC",ARG-CRB,WIND-OFF,SOEC-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARG-CRB,WIND-OFF,SOEC-EL,LOHC-CON,SOEC-EL",ARG-CRB,WIND-OFF,SOEC-EL,LOHC-CON,SOEC-EL,1343.394386252327,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,NH3SYN,NH3-REC",ARG-CRB,WIND-OFF,SOEC-EL,NH3SYN,NH3-REC,7008.0,öko
"ARG-CRB,WIND-OFF,SOEC-EL,NH3SYN,NH3SYN",ARG-CRB,WIND-OFF,SOEC-EL,NH3SYN,NH3SYN,1813.474553330536,PTX Atlas
"ARG-CRB,WIND-OFF,SOEC-EL,NH3SYN,SOEC-EL",ARG-CRB,WIND-OFF,SOEC-EL,NH3SYN,SOEC-EL,1813.474553330536,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,,AEL-EL",ARG-CRB,WIND-ON,AEL-EL,,AEL-EL,3673.4706101827246,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,,H2-COMP",ARG-CRB,WIND-ON,AEL-EL,,H2-COMP,7008.0,
"ARG-CRB,WIND-ON,AEL-EL,,H2-LIQ",ARG-CRB,WIND-ON,AEL-EL,,H2-LIQ,3899.6287276393946,öko
"ARG-CRB,WIND-ON,AEL-EL,,H2-RGAS",ARG-CRB,WIND-ON,AEL-EL,,H2-RGAS,7008.0,öko
"ARG-CRB,WIND-ON,AEL-EL,CH3OHSYN,AEL-EL",ARG-CRB,WIND-ON,AEL-EL,CH3OHSYN,AEL-EL,4081.2234073419368,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,CH3OHSYN,CH3OHREC",ARG-CRB,WIND-ON,AEL-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARG-CRB,WIND-ON,AEL-EL,CH3OHSYN,CH3OHSYN",ARG-CRB,WIND-ON,AEL-EL,CH3OHSYN,CH3OHSYN,4884.703786502216,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,CH4SYN,AEL-EL",ARG-CRB,WIND-ON,AEL-EL,CH4SYN,AEL-EL,3989.90009067276,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,CH4SYN,ATR",ARG-CRB,WIND-ON,AEL-EL,CH4SYN,ATR,7008.0,
"ARG-CRB,WIND-ON,AEL-EL,CH4SYN,CH4-LIQ",ARG-CRB,WIND-ON,AEL-EL,CH4SYN,CH4-LIQ,4869.228902893316,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,CH4SYN,CH4-RGAS",ARG-CRB,WIND-ON,AEL-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARG-CRB,WIND-ON,AEL-EL,CH4SYN,CH4SYN",ARG-CRB,WIND-ON,AEL-EL,CH4SYN,CH4SYN,4869.228902893316,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,DRI,AEL-EL",ARG-CRB,WIND-ON,AEL-EL,DRI,AEL-EL,7008.0,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,DRI,DRI",ARG-CRB,WIND-ON,AEL-EL,DRI,DRI,7008.0,öko
"ARG-CRB,WIND-ON,AEL-EL,EFUELSYN,AEL-EL",ARG-CRB,WIND-ON,AEL-EL,EFUELSYN,AEL-EL,4052.1587930909377,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,EFUELSYN,EFUELSYN",ARG-CRB,WIND-ON,AEL-EL,EFUELSYN,EFUELSYN,4846.1950700090265,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,LOHC-CON,AEL-EL",ARG-CRB,WIND-ON,AEL-EL,LOHC-CON,AEL-EL,3673.4706101827246,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,LOHC-CON,LOHC-CON",ARG-CRB,WIND-ON,AEL-EL,LOHC-CON,LOHC-CON,3673.4706101827246,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,LOHC-CON,LOHC-REC",ARG-CRB,WIND-ON,AEL-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARG-CRB,WIND-ON,AEL-EL,NH3SYN,AEL-EL",ARG-CRB,WIND-ON,AEL-EL,NH3SYN,AEL-EL,3922.676869011733,PTX Atlas
"ARG-CRB,WIND-ON,AEL-EL,NH3SYN,NH3-REC",ARG-CRB,WIND-ON,AEL-EL,NH3SYN,NH3-REC,7008.0,öko
"ARG-CRB,WIND-ON,AEL-EL,NH3SYN,NH3SYN",ARG-CRB,WIND-ON,AEL-EL,NH3SYN,NH3SYN,4166.780197214585,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,,H2-COMP",ARG-CRB,WIND-ON,PEM-EL,,H2-COMP,7008.0,
"ARG-CRB,WIND-ON,PEM-EL,,H2-LIQ",ARG-CRB,WIND-ON,PEM-EL,,H2-LIQ,3899.6287276393946,öko
"ARG-CRB,WIND-ON,PEM-EL,,H2-RGAS",ARG-CRB,WIND-ON,PEM-EL,,H2-RGAS,7008.0,öko
"ARG-CRB,WIND-ON,PEM-EL,,PEM-EL",ARG-CRB,WIND-ON,PEM-EL,,PEM-EL,3673.4706101827246,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,CH3OHSYN,CH3OHREC",ARG-CRB,WIND-ON,PEM-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARG-CRB,WIND-ON,PEM-EL,CH3OHSYN,CH3OHSYN",ARG-CRB,WIND-ON,PEM-EL,CH3OHSYN,CH3OHSYN,4884.703786502216,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,CH3OHSYN,PEM-EL",ARG-CRB,WIND-ON,PEM-EL,CH3OHSYN,PEM-EL,4081.2234073419368,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,CH4SYN,ATR",ARG-CRB,WIND-ON,PEM-EL,CH4SYN,ATR,7008.0,
"ARG-CRB,WIND-ON,PEM-EL,CH4SYN,CH4-LIQ",ARG-CRB,WIND-ON,PEM-EL,CH4SYN,CH4-LIQ,4869.228902893316,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,CH4SYN,CH4-RGAS",ARG-CRB,WIND-ON,PEM-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARG-CRB,WIND-ON,PEM-EL,CH4SYN,CH4SYN",ARG-CRB,WIND-ON,PEM-EL,CH4SYN,CH4SYN,4869.228902893316,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,CH4SYN,PEM-EL",ARG-CRB,WIND-ON,PEM-EL,CH4SYN,PEM-EL,3989.90009067276,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,DRI,DRI",ARG-CRB,WIND-ON,PEM-EL,DRI,DRI,7008.0,öko
"ARG-CRB,WIND-ON,PEM-EL,DRI,PEM-EL",ARG-CRB,WIND-ON,PEM-EL,DRI,PEM-EL,7008.0,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,EFUELSYN,EFUELSYN",ARG-CRB,WIND-ON,PEM-EL,EFUELSYN,EFUELSYN,4846.1950700090265,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,EFUELSYN,PEM-EL",ARG-CRB,WIND-ON,PEM-EL,EFUELSYN,PEM-EL,4052.1587930909377,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,LOHC-CON,LOHC-CON",ARG-CRB,WIND-ON,PEM-EL,LOHC-CON,LOHC-CON,3673.4706101827246,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,LOHC-CON,LOHC-REC",ARG-CRB,WIND-ON,PEM-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARG-CRB,WIND-ON,PEM-EL,LOHC-CON,PEM-EL",ARG-CRB,WIND-ON,PEM-EL,LOHC-CON,PEM-EL,3673.4706101827246,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,NH3SYN,NH3-REC",ARG-CRB,WIND-ON,PEM-EL,NH3SYN,NH3-REC,7008.0,öko
"ARG-CRB,WIND-ON,PEM-EL,NH3SYN,NH3SYN",ARG-CRB,WIND-ON,PEM-EL,NH3SYN,NH3SYN,4166.780197214585,PTX Atlas
"ARG-CRB,WIND-ON,PEM-EL,NH3SYN,PEM-EL",ARG-CRB,WIND-ON,PEM-EL,NH3SYN,PEM-EL,3922.676869011733,PTX Atlas
"ARG-CRB,WIND-ON,SOEC-EL,,H2-COMP",ARG-CRB,WIND-ON,SOEC-EL,,H2-COMP,7008.0,
"ARG-CRB,WIND-ON,SOEC-EL,,H2-LIQ",ARG-CRB,WIND-ON,SOEC-EL,,H2-LIQ,3838.3737155112894,öko
"ARG-CRB,WIND-ON,SOEC-EL,,H2-RGAS",ARG-CRB,WIND-ON,SOEC-EL,,H2-RGAS,7008.0,öko
"ARG-CRB,WIND-ON,SOEC-EL,,SOEC-EL",ARG-CRB,WIND-ON,SOEC-EL,,SOEC-EL,3620.363629572144,PTX Atlas
"ARG-CRB,WIND-ON,SOEC-EL,CH3OHSYN,CH3OHREC",ARG-CRB,WIND-ON,SOEC-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARG-CRB,WIND-ON,SOEC-EL,CH3OHSYN,CH3OHSYN",ARG-CRB,WIND-ON,SOEC-EL,CH3OHSYN,CH3OHSYN,4266.5574584929445,PTX Atlas
"ARG-CRB,WIND-ON,SOEC-EL,CH3OHSYN,SOEC-EL",ARG-CRB,WIND-ON,SOEC-EL,CH3OHSYN,SOEC-EL,4266.5574584929445,PTX Atlas
"ARG-CRB,WIND-ON,SOEC-EL,CH4SYN,ATR",ARG-CRB,WIND-ON,SOEC-EL,CH4SYN,ATR,7008.0,
"ARG-CRB,WIND-ON,SOEC-EL,CH4SYN,CH4-LIQ",ARG-CRB,WIND-ON,SOEC-EL,CH4SYN,CH4-LIQ,4264.327283920126,PTX Atlas
