key,parameter_code,process_code,flow_code,source_region_code,target_country_code,value,unit,source
"CAPEX,PV-FIX,,MAR,",CAPEX,PV-FIX,,MAR,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-BEN,",CAPEX,PV-FIX,,MAR-BEN,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-CAS,",CAPEX,PV-FIX,,MAR-CAS,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-DAK,",CAPEX,PV-FIX,,MAR-DAK,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-DRA,",CAPEX,PV-FIX,,MAR-DRA,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-FES,",CAPEX,PV-FIX,,MAR-FES,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-GUE,",CAPEX,PV-FIX,,MAR-GUE,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-LAA,",CAPEX,PV-FIX,,MAR-LAA,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-LOR,",CAPEX,PV-FIX,,MAR-LOR,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-MAR,",CAPEX,PV-FIX,,MAR-MAR,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-RAB,",CAPEX,PV-FIX,,MAR-RAB,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-SOU,",CAPEX,PV-FIX,,MAR-SOU,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MAR-TAN,",CAPEX,PV-FIX,,MAR-TAN,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,MEX,",CAPEX,PV-FIX,,MEX,,681.9570691801671,USD2021/kW,
"CAPEX,PV-FIX,,MRT,",CAPEX,PV-FIX,,MRT,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,NAM,",CAPEX,PV-FIX,,NAM,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,NOR,",CAPEX,PV-FIX,,NOR,,689.5271406854608,USD2021/kW,
"CAPEX,PV-FIX,,PER,",CAPEX,PV-FIX,,PER,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,PRT,",CAPEX,PV-FIX,,PRT,,756.6869974370642,USD2021/kW,
"CAPEX,PV-FIX,,RUS,",CAPEX,PV-FIX,,RUS,,1342.350278465309,USD2021/kW,
"CAPEX,PV-FIX,,SAU,",CAPEX,PV-FIX,,SAU,,776.113060876979,USD2021/kW,
"CAPEX,PV-FIX,,SWE,",CAPEX,PV-FIX,,SWE,,689.5271406854608,USD2021/kW,
"CAPEX,PV-FIX,,THA,",CAPEX,PV-FIX,,THA,,825.6541700323597,USD2021/kW,
"CAPEX,PV-FIX,,TUN,",CAPEX,PV-FIX,,TUN,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,UKR,",CAPEX,PV-FIX,,UKR,,689.5271406854608,USD2021/kW,
"CAPEX,PV-FIX,,URY,",CAPEX,PV-FIX,,URY,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,USA,",CAPEX,PV-FIX,,USA,,893.9707089239262,USD2021/kW,
"CAPEX,PV-FIX,,VNM,",CAPEX,PV-FIX,,VNM,,825.6541700323597,USD2021/kW,
"CAPEX,PV-FIX,,ZAF,",CAPEX,PV-FIX,,ZAF,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-EC,",CAPEX,PV-FIX,,ZAF-EC,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-FRS,",CAPEX,PV-FIX,,ZAF-FRS,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-GAU,",CAPEX,PV-FIX,,ZAF-GAU,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-KWA,",CAPEX,PV-FIX,,ZAF-KWA,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-LIM,",CAPEX,PV-FIX,,ZAF-LIM,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-MPU,",CAPEX,PV-FIX,,ZAF-MPU,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-NC,",CAPEX,PV-FIX,,ZAF-NC,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-NW,",CAPEX,PV-FIX,,ZAF-NW,,748.3217069605458,USD2021/kW,
"CAPEX,PV-FIX,,ZAF-WC,",CAPEX,PV-FIX,,ZAF-WC,,748.3217069605458,USD2021/kW,
"CAPEX,REGASATR,,,",CAPEX,REGASATR,,,,1000.0341055522356,USD2021/kW,combined values
"CAPEX,RES-HYBR,,ARE,",CAPEX,RES-HYBR,,ARE,,1129.0342332707282,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG,",CAPEX,RES-HYBR,,ARG,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-BA,",CAPEX,RES-HYBR,,ARG-BA,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-CAT,",CAPEX,RES-HYBR,,ARG-CAT,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-CBA,",CAPEX,RES-HYBR,,ARG-CBA,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-CHA,",CAPEX,RES-HYBR,,ARG-CHA,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-CHU,",CAPEX,RES-HYBR,,ARG-CHU,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-COR,",CAPEX,RES-HYBR,,ARG-COR,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-CRB,",CAPEX,RES-HYBR,,ARG-CRB,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-CRU,",CAPEX,RES-HYBR,,ARG-CRU,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ARG-EST,",CAPEX,RES-HYBR,,ARG-EST,,1218.0417054231007,USD2021/kW,calculated. PV:  WIND-ON: 
